Date Time,VALUE,QUALITY,COMMENT
2017/08/06 00:00:00,0.940,2,
2017/08/07 00:00:00,0.982,2,
2017/08/08 00:00:00,1.011,2,
2017/08/09 00:00:00,0.998,2,
2017/08/10 00:00:00,1.138,2,
2017/08/11 00:00:00,1.216,2,
2017/08/12 00:00:00,1.102,2,
2017/08/13 00:00:00,1.096,2,
2017/08/14 00:00:00,1.038,2,
2017/08/15 00:00:00,0.998,2,
2017/08/16 00:00:00,1.114,2,
2017/08/17 00:00:00,1.388,2,
2017/08/18 00:00:00,1.411,2,
2017/08/19 00:00:00,1.280,2,
2017/08/20 00:00:00,1.257,2,
2017/08/21 00:00:00,1.217,2,
2017/08/22 00:00:00,1.117,2,
2017/08/23 00:00:00,1.050,2,
2017/08/24 00:00:00,1.023,2,
2017/08/25 00:00:00,1.009,2,
2017/08/26 00:00:00,1.032,2,
2017/08/27 00:00:00,1.008,2,
2017/08/28 00:00:00,1.046,2,
2017/08/29 00:00:00,1.040,2,
2017/08/30 00:00:00,0.996,2,
2017/08/31 00:00:00,0.964,2,
2017/09/01 00:00:00,0.945,2,
2017/09/02 00:00:00,0.966,2,
2017/09/03 00:00:00,0.963,2,
2017/09/04 00:00:00,0.995,2,
2017/09/05 00:00:00,0.994,2,
2017/09/06 00:00:00,0.973,2,
2017/09/07 00:00:00,0.950,2,
2017/09/08 00:00:00,0.961,2,
2017/09/09 00:00:00,0.981,2,
2017/09/10 00:00:00,0.971,2,
2017/09/11 00:00:00,0.987,2,
2017/09/12 00:00:00,1.001,2,
2017/09/13 00:00:00,1.116,2,
2017/09/14 00:00:00,1.172,2,
2017/09/15 00:00:00,1.125,2,
2017/09/16 00:00:00,1.155,2,
2017/09/17 00:00:00,1.171,2,
2017/09/18 00:00:00,1.089,2,
2017/09/19 00:00:00,1.062,2,
2017/09/20 00:00:00,1.133,2,
2017/09/21 00:00:00,1.185,2,
2017/09/22 00:00:00,1.202,2,
2017/09/23 00:00:00,1.217,2,
2017/09/24 00:00:00,1.201,2,
2017/09/25 00:00:00,1.157,2,
2017/09/26 00:00:00,1.193,2,
2017/09/27 00:00:00,1.141,2,
2017/09/28 00:00:00,1.110,2,
2017/09/29 00:00:00,1.085,2,
2017/09/30 00:00:00,1.076,2,
2017/10/01 00:00:00,1.162,2,
2017/10/02 00:00:00,1.218,2,
2017/10/03 00:00:00,1.185,2,
2017/10/04 00:00:00,1.184,2,
2017/10/05 00:00:00,1.186,2,
2017/10/06 00:00:00,1.853,2,
2017/10/07 00:00:00,1.998,2,
2017/10/08 00:00:00,1.716,2,
2017/10/09 00:00:00,1.544,2,
